art,EW 5876 G,EW 4541 G,EW 4471 G,EW 5411 G,EW 4481 G,EW 5592 G,EW 4686 G,EW 4116G,EW 4340G,FWHM 5876 G,FWHM 4541 G,FWHM 4471 G,FWHM 5411 G,FWHM 4481 G,FWHM 5592 G,FWHM 4552 G,FWHM 4267 G,FWHM 4116G,FWHM 4340G,EW 5876,EW 4541,EW 4471,EW 5411,EW 4481,EW 5592,EW 4686,EW 4116,EW 4340,EW 5876 INT,EW 4541 INT,EW 4471 INT,EW 5411 INT,EW 4481 INT,EW 5592 INT,EW 4686 INT,EW 4340 INT
B,107.55,41.92,169.85,0,386.76,0,0,0,8406.56,0.81,0.57,1.09,0,0,0,0.67,0.8,0,10.97,124.07,55.48,209.21,0,379.3,0,0,0,8311.39,121.31,40.25,322.14,0,364.91,0,0,8048.12
B,158.56,0,191.83,0,329.79,0,0,0,6846.7,0.6,0.31,0.74,0,0,0,0.44,0.43,0,9.37,189.07,29.61,212.03,0,303.34,0,0,3441288.2,6405.88,189.47,29.26,285.17,0,321.7,0,0,6532.09
B,1135.32,0,842.91,20.28,148.42,19.12,0,660.18,2024.88,4.1,0,3.33,1.12,1.2,0,2.51,1.78,5.35,5.81,1126.94,0,806.19,36.09,88.01,33.11,0,35.53,2262.07,995.3,2.03,751.64,15.93,106.77,2.37,0,2774.46
B,929.93,0,842.67,0.46,287.73,0,0,0,2270.55,2.5,0,2.27,0.03,0,0,1.96,1.47,0,4.76,872.46,0,842.33,10.91,256.11,0,0,0,2550.1,957.47,0,836.01,0,272.71,0,0,3167.84
B,719.8,0,898.05,0,231.63,0,0,0,2974.6,2.25,0,2.51,0,0,0,1.9,1.24,0,6.04,629.4,0,929.57,0,242.52,0,0,0,3129.84,647.72,0,932.57,0,245.35,0,0,3433.33
B,428.53,0,759.6,0,309.71,0,0,0,6569.32,2.51,0,3.03,0,0,0,2.01,1.5,0,10.7,414.5,0,812.01,0,320.16,0,0,0,5972.82,415.55,0,783.75,0,312.86,0,0,6084.45
B,57.68,0,99.75,0,321.29,0,0,10547.49,10574.11,1.2,0.35,1.24,0,0,0,1.04,0,13.11,13.5,62.1,3.84,138.78,0,314.34,0,0,11231.88,9933.17,59.89,4.24,105.19,0,315.61,0,0,10025.21
B,24.99,0,268.72,0,208.06,0,0,0,5361.33,0.04,0,2.19,0,0,0,1.08,0,0,8.99,35.61,0,242.58,0,196.55,0,0,0,5686.74,27.83,0,265.58,0,0,0,0,5706.54
B,457.25,0,512.28,0,220.95,0,0,80.26,740.38,1.77,0,1.4,0.13,0,0,1.39,1.06,0.91,2.04,553.51,0,478.67,18.43,170.83,0,0,46.85,811.58,450.58,0,489.19,0,181.42,1.77,0,842.98
B,656.97,6.15,490.34,0,369,0,0,0,2586.22,1.15,0.49,0.97,0,0.17,0,0.69,0.91,0,4.24,742.75,17.1,521.29,0,345.31,7.81,0,0,2845.83,721.78,4.23,556.51,0,345.88,0,0,3199.5
